iter	Logloss
0	0.6819366024
1	0.6708238183
2	0.6579360111
3	0.6468623627
4	0.6384215808
5	0.6261900246
6	0.6140824981
7	0.604539176
8	0.5934428178
9	0.5821719369
10	0.5715200068
11	0.5635400788
12	0.5550271221
13	0.5458404777
14	0.5362138106
15	0.5271710496
16	0.5189261208
17	0.5120458845
18	0.5034228048
19	0.4971373022
20	0.4889928513
21	0.4826807931
22	0.4755896425
23	0.4676930699
24	0.4597458733
25	0.4533167299
26	0.4474203191
27	0.4405730273
28	0.4339639466
29	0.4273984741
30	0.4219348672
31	0.4157785032
32	0.4103051402
33	0.4040938431
34	0.3981359025
35	0.3916541413
36	0.38617235
37	0.3797499083
38	0.3748517504
39	0.3688278032
40	0.3636537936
41	0.3595728282
42	0.3543563521
43	0.3493810495
44	0.3446650035
45	0.3395292415
46	0.3359841536
47	0.3311100678
48	0.3271246405
49	0.3225566098
50	0.3189920849
51	0.3148921573
52	0.31027827
53	0.3056977797
54	0.3021474422
55	0.2979507723
56	0.2941136106
57	0.2903977792
58	0.2871687286
59	0.2831358673
60	0.2796067672
61	0.2765662103
62	0.2730410024
63	0.2708692799
64	0.2681401847
65	0.2645308437
66	0.2611893915
67	0.2583245143
68	0.2548814525
69	0.251690303
70	0.2485572838
71	0.2455851242
72	0.243464654
73	0.2408468373
74	0.2381680968
75	0.2355050286
76	0.2329652645
77	0.2304421655
78	0.2274750696
79	0.2249544577
80	0.2224501394
81	0.2202819088
82	0.2175999781
83	0.2149530077
84	0.2123286667
85	0.2105320196
86	0.2085010329
87	0.2067650699
88	0.2048064633
89	0.2025507908
90	0.2006002225
91	0.1985495894
92	0.1967565271
93	0.194809641
94	0.1925020214
95	0.1904283985
96	0.1887600952
97	0.1871069496
98	0.1851695362
99	0.1832941087
100	0.1818099082
101	0.1802978734
102	0.1786741084
103	0.1775707536
104	0.1757115529
105	0.1739906084
106	0.172064433
107	0.1699818686
108	0.168385454
109	0.1668614848
110	0.1655685302
111	0.1640708307
112	0.1622317296
113	0.1607926343
114	0.1595487854
115	0.1581836873
116	0.1569840046
117	0.1558064959
118	0.1547100833
119	0.1530095526
120	0.152262687
121	0.1513266868
122	0.1500991022
123	0.1492906976
124	0.1479166612
125	0.1466216165
126	0.1455135603
127	0.1445850112
128	0.1431619592
129	0.1420116468
130	0.1409434128
131	0.1399186922
132	0.1387531037
133	0.1375788452
134	0.1366358603
135	0.1356402797
136	0.1347124845
137	0.1336580372
138	0.1327963482
139	0.1317762582
140	0.1310010077
141	0.1301344117
142	0.1288913128
143	0.1278372345
144	0.1268626544
145	0.1260896127
146	0.1253204235
147	0.124804411
148	0.1241681866
149	0.1233457389
150	0.122452127
151	0.1214594091
152	0.120599665
153	0.1197724463
154	0.1190833774
155	0.1183429912
156	0.1172744292
157	0.1164347233
158	0.1155271768
159	0.1147566221
160	0.113919354
161	0.1132427344
162	0.1126271012
163	0.1118526674
164	0.1112735096
165	0.1104245185
166	0.1096661196
167	0.1089131309
168	0.1081119678
169	0.1074564485
170	0.1068057365
171	0.1061778911
172	0.1052541827
173	0.1045854739
174	0.1039435742
175	0.1031505492
176	0.1023571961
177	0.1018069244
178	0.101185505
179	0.1006420534
180	0.09989259755
181	0.09930666107
182	0.09859174389
183	0.09785447094
184	0.09716356618
185	0.09663277569
186	0.09614584748
187	0.09549836477
188	0.09509792895
189	0.09461695952
190	0.09403958803
191	0.09361904621
192	0.09302855755
193	0.09253234575
194	0.09189632347
195	0.09130114008
196	0.09081659562
197	0.09017119058
198	0.08947027759
199	0.08903703559
200	0.0885837925
201	0.08808579074
202	0.08775688476
203	0.08737785862
204	0.08701391391
205	0.08659044514
206	0.08591422897
207	0.08528061249
208	0.08475989116
209	0.08426195492
210	0.08380257115
211	0.08319690302
212	0.0828501517
213	0.08217860928
214	0.08158636534
215	0.08112636582
216	0.08060005143
217	0.08031409073
218	0.07994166382
219	0.07949767861
220	0.07915211567
221	0.07874018076
222	0.07820359089
223	0.07782359274
224	0.07730093647
225	0.07695736867
226	0.07645867399
227	0.07618062239
228	0.07589656367
229	0.0754898781
230	0.0750983014
231	0.07465996994
232	0.07433227236
233	0.07386461798
234	0.07344683552
235	0.073003549
236	0.07258558916
237	0.07219399799
238	0.0717086429
239	0.0712990657
240	0.0709499079
241	0.07062170852
242	0.07023605815
243	0.06995536745
244	0.06948657954
245	0.06920626511
246	0.06879742086
247	0.0685015942
248	0.06822922218
249	0.06776894075
250	0.06748498974
251	0.06709832013
252	0.0667481302
253	0.0664440702
254	0.06610121873
255	0.06576917758
256	0.06539661369
257	0.06512374444
258	0.06477858117
259	0.06441608703
260	0.06410112347
261	0.06383514247
262	0.06346038816
263	0.06327584132
264	0.06296168623
265	0.06257147265
266	0.06226080377
267	0.06193835614
268	0.06156358492
269	0.06127425403
270	0.0610510806
271	0.06082408813
272	0.06064784026
273	0.06043672229
274	0.06013601187
275	0.05994579762
276	0.05970810918
277	0.05945096936
278	0.05920258398
279	0.05892014833
280	0.05863465881
281	0.05838757402
282	0.05808592288
283	0.05786990912
284	0.05764962447
285	0.05734337329
286	0.05715775948
287	0.05692433009
288	0.05665163969
289	0.05630497323
290	0.05601480313
291	0.05568846251
292	0.05536021928
293	0.05513744317
294	0.0548465325
295	0.05469746877
296	0.05439243045
297	0.05418732403
298	0.05402014492
299	0.05390744529
300	0.05365363548
301	0.05342822194
302	0.05321431486
303	0.05295854658
304	0.05278200328
305	0.05255713613
306	0.05238312127
307	0.05219506331
308	0.05193307102
309	0.0517168143
310	0.05152465224
311	0.05137652943
312	0.05118310382
313	0.05101318335
314	0.05083627717
315	0.05068041667
316	0.05036796264
317	0.05019815364
318	0.05002594344
319	0.04981543913
320	0.04960118298
321	0.04942629151
322	0.04923589235
323	0.04908279739
324	0.04880875529
325	0.04862239812
326	0.04841805271
327	0.04820543772
328	0.04806137688
329	0.04788251542
330	0.04773815742
331	0.04757622689
332	0.04735618494
333	0.04716421895
334	0.04701185801
335	0.04678476688
336	0.04656627425
337	0.04641074875
338	0.04621118207
339	0.04610692627
340	0.04594863035
341	0.04581738935
342	0.04562486039
343	0.04544448502
344	0.04527443083
345	0.04502441748
346	0.04485153936
347	0.04463888693
348	0.04447861569
349	0.04438786293
350	0.0442657155
351	0.04410923738
352	0.04394134363
353	0.04385282149
354	0.04370554212
355	0.04358169289
356	0.04344839456
357	0.04332776597
358	0.0431795984
359	0.04297177362
360	0.04279947077
361	0.04266590689
362	0.04258104238
363	0.0424667853
364	0.04237443012
365	0.04225228131
366	0.04213909122
367	0.04198633307
368	0.04182918779
369	0.04166776349
370	0.04150215263
371	0.04138999357
372	0.0412404475
373	0.04106703837
374	0.04092419726
375	0.04076051129
376	0.04059454553
377	0.04045676578
378	0.0403085476
379	0.04019841348
380	0.04001592766
381	0.03984440948
382	0.03970621615
383	0.03958346266
384	0.03948647684
